NO,KABUPATEN,OBJEK / DESTINASI WISATA,FASILITAS UMUM,FASILITAS PENUNJANG,ALAMAT,WAKTU OPERASIONAL,RATING BPODT
1.0,TOBA,Pantai Bulbul,"sanitasi
 Parkir","tempat ibadah (Gereja HKBP Tiberias Lumban Bulbul)
 Homestay / penginapan
 Resto dan spot kuliner","Lumban Bulbul, Kecamatan Balige","senin - minggu
 24 jam
 
 08.00 - 14.00",
2.0,TOBA,Air Terjun Situmurun,toilet umum,"spot jajan makanan dan minuman
 
 Sewa kapal","Jonggi Nihuta, Hatinggian, Kec. Lumban Julu.","senin - minggu
 24 jam
 
 08.00 - 14.00",
3.0,TOBA,Taman Eden 100,"sanitasi
 parkir
 pusat informasi
 tempat bersantai","cafe shacky house
 homestay
 jalur evakuasi
 spot oleh-oleh kuliner","Desa Lumban Rang Sionggang Utara, Kecamatan Lumban Julu","senin - minggu
 08.00 - 17.00",
4.0,TOBA,Toba Caldera Resort,"parking area
 mushala
 toilet
 tempat duduk","Nom Addict Cafe
 Penginapan (Bobocabin)
 Stand UMKM","Desa Pardamean Sibisa, Kecamatan Ajibata","senin - minggu
 08.00 - 17.00",
5.0,TOBA,Bukit Senyum,"Gazebo
 mushala
 tempat duduk kayu",warung makanan dan minuman,"Desa Motung, Kecamatan Ajibata","senin - minggu
 08.00 - 17.00",
6.0,TOBA,Bukit Tara Bunga,"parkir
 toilet
 mushala
 gazebo
 pusat informasi",warung makanan dan / restoran,"Lintong Nihuta, Kecamatan Tampahan","senin - minggu
 07.00 - 18.30",
7.0,TOBA,Bukit Pahoda,,,"Desa Lumban Silitong, Kecamatan Balige","senin - minggu
 08.00 - 17.00",
8.0,TOBA,Pemandian Bukit Gibeon,"sanitasi
 ruang ganti
 loker
 parking area","restoran
 tempat ibadah",Desa Parsaoran Sibisa Kecamatan Ajibata,"senin - minggu
 08.00 - 17.00",
9.0,TOBA,Desa Wisata Meat,parking area,homestay,"Desa Meat, Kecamatan Tampahan","senin - sabtu
 08.00 - 16.00",
10.0,TOBA,Labersa Toba Fantasi,"Parking area
 ruang ganti
 loker
 gazebo",restoran,"Jl. Pematang Siantar Sariburja Janji Maria, Kecamatan Balige","senin - minggu
 09.00 - 23.00",
